sent	label
Remind me to give Shruti novel	give Shruti novel
Thanks for ur reminders	ur reminders
How to get monthly reminders??	How to get monthly reminders
Call Mallika today at 6pm	Call Mallika
Remind me to talk to valmik at 8 today	talk to valmik
Remind me to go to bank tomorrow morning and 10 and then to college	go to bank and college
Okey	Not Found
Remind me to ask sir about my doubt of differential eqns	ask sir about my doubt of differential eqns
Remind 1:15 for Coaching center	Coaching center
Remind me at 9.00 p.m for credit card payment	credit card payment
Shraddha now the reminders aren't required	Not Found
I want this to set for every mon to fri	fri
Remind me tmrw to put wires downstairs	put wires downstairs
send me reminder with alarm	with alarm
Remind at 6 to courier	courier
Hey set me a alarm at 2:00pm today can you	Not Found
Insurance policy maturity. Reminder Jan 12 at 11 am. Then on Jan 13 at 10 am.	Insurance policy maturity. Reminder Jan 12 at 11 am. Then on Jan 13
at 5:30 pm today remind me to take 35 rs . from conductor	take 35 rs . from conductor
Remind me at 10.30am	Not Found
So you sure the alarm will ring? I'm totally relying on you..	Not Found
Clear the remainder	Not Found
I want to set an alaram	Not Found
Ru a bot?	Ru a bot
Remind me for the movie @ ymca 9:00 pm dangal	the movie
Is it possible to schedule everyday	Not Found
Everyday set the reminder	Not Found
Remind me to send reminder email to maruti and hakuhodo	send reminder email to maruti and hakuhodo
Pls check reminders on this number...	check reminders on this number...
Is the reminder set?	Not Found
Can I set a monthly reminder	Not Found
Can you set one more alarm for me?	Not Found
Hey, can you remind me to order food by 4 pm	order food
Thanks for reminding...😀	Thanks for reminding...
Remind to give review on amazon about TV today at 3 pm	give review on amazon about TV
How will u remind me	How
I need a reminder between 6 pm to 11 pm .	Not Found
Hey..I want to set reminders for my monthly utility payments	set reminders for my monthly utility payments
Can you set this reminder for everyday	Not Found
Thanks for helping me out with reminders.	helping me out with reminders
Hey, Can you remind me tor pick my calculator on next Sat 9pm?	pick my calculator
Can you please add a reminder ?	Not Found
Appointment with Mr Rashpal Singh tomorrow 10. 00 AM reminde me	Not Found
February 13th my marrage day remind mee on February 12th	my marrage day
Remind me to photo copy notes tomorrow at 4:30pm	photo copy notes
Hi, can you remind me to watch koffee with karan tomorrow by 9:00 pm?	watch koffee with karan
I dint receive reminders from morning	I dint receive reminders
I am still nt getting calls	Not Found
Change alarm to 7 am	Change alarm
4 mins late reminder	Not Found
Hey can you set reminder to have lunch today at 1 pm	have lunch
Remind me to start my report tomorrow at 10 am.	start my report
Remind me for dentist on Tuesday ie 22/11	dentist on Tuesday ie 22/11
Reminder to carry my icard tomorrow morning at 10 am	carry my icard
26th December	Not Found
I dint get any reminder	Not Found
Thank you, I suppose you called me today but my mobile was silent. Missed your reminder.	Not Found
Remind me to take my 1 TB hard drive to the Hospital tomorrow	take my 1 TB hard drive to the Hospital
I want to dismiss this reminder	dismiss
Remind me on this Sunday night 9pm and Monday morning 11am ..have to pay loan amount	pay loan amount
Reminder mi to buy detergine @tonight 9pm	buy detergine
Please deactivate the reminder	Not Found
Reminder me every 15th October to wish Niyati Sagar, Happy Birthday!	wish Niyati Sagar, Happy Birthday!
Wish Birthday Name: Rosy Date: January 29, 2017 Time: 8 50 AM	Not Found
And also remind me to pay my phone bill too	pay my phone
Call me at 8:00 AM on 18 November	Call me
Did you call me	Not Found
Hey.. Can you give me a reminder at 3.57 for the next Mi shake shake game..	the next Mi shake shake game
Can u set alarm	Not Found
Can you please remind me to play the game after 2 hour	play the game
Will u remind me to visit the Institution of engineers, J M Road, pune on 10th of December, 2016, around 6pm??	visit the Institution of engineers, J M Road, pune
Btw reminder for what??	what??
Should I get daily reminder for some imp tasks?	some imp tasks
Remind me at 9am on 29th November I have to go for scanning passport purpose	go for scanning passport purpose
I want set few reminders for my work.how can I?	Not Found
Since 3 days because of so many calls and messages I am going good	so many calls and messages I am going good
Can you send a scheduled message	Not Found
I want to know more about haptik can tell me about it	Not Found
Nothing Dear Just Saying Thanks For reminding	Not Found
Please remind me to send Samples to sharad's place at 11am	send Samples to sharad's place
At 2.10 can you remind me to pack my books for tutions	pack my books for tutions
Yes you can	Not Found
Hey i need to remember me 4 hours to once	Not Found
Please remind me again in 20 mins	Not Found
Remind to check IITB site	check IITB site
But will the reminder carry at least one line of info? (In this case it's for Indus CC payments)	carry at least one line of info and Indus CC payments)
Thanks buddy for the reminders!!!	Not Found
Remind me @ every half hour	Not Found
Remind me to read law at 11.40 am today	read law
Hey remind me at 12:15	Not Found
I was every Friday this reminder	Not Found
call at 20.50pm	call
Can you set an alarm	Not Found
Remind me to attend concall at 4:15pm today	attend concall
Also remind to collect cheque	collect cheque
Call me at 5 am today	Call me
Remind me to take the keys at 6	take the keys
7: 35am alarm please	Not Found
what else can u remind me?	Not Found
Thanks for d reminder :)	)
That's a bit too late... how about from 8am to 6pm ?	That's a bit too late... how about
can u put this alarm from Monday-Friday every week??	Not Found
set my meeting 30 nov 10:50am mhera commerce class	meeting 30 and mhera commerce class
And same reminder at 09:30 am	Not Found
Please remind to process hyderabad rent payment today at 5 pm	process hyderabad rent payment
I need reminder	Not Found
Can u make the reminder every 1 hr	Not Found
Will you be reminding it every day	be reminding it
Set reminder for tomorrow at 7pm	Not Found
Already called her	Not Found
Should keep it open always to get reminder	keep it open always to get reminder
Reminder**	Not Found
Remind me to iron my dress at 9am on 26th december	iron my dress
Thnk u for the reminder	Not Found
But i also want you to remind me every two week	Not Found
I need another reminder for eye rest since I do most of my work on laptop	another reminder for eye rest since I do most of my work on laptop
Call camera hire aunty tomorrow	Call camera hire aunty
Thank you for reminding me 😀	Thank you for reminding me
Can you remind me that after like couple of hours	like couple of hours
Remind me of an event on 30th Friday at 12.30pm luncheon meet	meet
After 15mins remind me again. Do it 3 times	Do it 3 times
About u	Not Found
Rituraj shampu and tel remind me at 7:10 pm	Rituraj shampu and tel remind
Remind tomorw 820pm to go movie	go movie
Remind me at 1 pm today	Not Found
Please remind me to sell Bajaj Auto shares tom at 9 am	sell Bajaj Auto shares tom
Let's schedule some more bdays	some more bdays
Remind me of Nakul Vijayvargiya wedding on 24th and 25th January at 3:00 PM.	Nakul Vijayvargiya wedding
How would you remind me	Not Found
Please remind me to go to HDFC Bank for Loan Closure at 11.15 AM on 7th December 2016.	go to HDFC Bank for Loan Closure
Also please remind me to pick up tonight's outfit from santacruz	pick up
I am moving to out...After 30 min reminder me I have a small work	moving to out...
Remind to change Fatema amount	change Fatema amount
Can you remind me about jungle book movie being telecasted on tv tomorrow at 1 pm	jungle book movie being telecasted on tv
Hey plzzzz, remind me to talk to my dad	talk to my dad
If you remind me at 6pm how can I catch my flight?	Not Found
why u calling me	calling me
reminder me in 2045	Not Found
I need to set alarm for 7.50am today	Not Found
U guest will give me a call in the morning?	guest will give me a call
8:00am.	Not Found
Please remind me to send an email to Patrick Rogers today at 5 p.m.	send an email to Patrick Rogers
But r u going to remind me by call..?	call..?
Please give a call and message for the same	give a call and message for the same
Your reminder system is worthless	system and worthless
Remind to day at 8pm go shanti	go shanti
remind me to setup internet at home tomorrow	setup internet at home
Can you remind me tomorrow 4:30 p.m	Not Found
Okay I you are at what time will you call	time will you call
Can you call my boss on behalf of me	Not Found
I will forget the purpose of the reminder	Not Found
What is it about	Not Found
So does a different person send the reminder every time? Are you like real.ppl😜	So does a different and ? Are you like real.ppl
Remind me to fill CDS form at 8:30 pm today	fill CDS form
Set a reminder for 22 feb 2017	Not Found
Need reminder 10:45	Not Found
I need remainder	Not Found
Thanks will I be getting a call or a message from your side	getting a call or a message
Can i able to set remainder for each 15 mins	Not Found
Which remainder is this	Which remainder
A lot of ur reminders are late in the last few days	lot of ur reminders are late in the last few
Take things from home tomorrow morning 8 am reminder	Take things from home
Its already set i guess	Not Found
Why doesn't reminder say uday?	Not Found
Make a note that remind me to collect documents from office by tomorrow 2pm	collect documents
Thanks for the help, where can get more details and manual or information about this app	can get more details and manual or information about this app
I had received reminder bro	Not Found
Yaa remind me every day	Yaa remind me
Remind me to wish Utkarsh Pandey on 2nd August at 1 pm	wish Utkarsh Pandey
Thnx puneet for ur reminder	Not Found
i want to schedule a reminder	Not Found
can you remind me to check my bank balance after 8 days for refund...?	check my bank balance and refund...?
29 aug	Not Found
Can you please remember me on8:50 pm today	Not Found
Remind me 30 minutes earlier	Not Found
Are there any charges for reminders??	Are there any charges for reminders
tomorrow early mrng 4 o clock set alarm	early mrng 4 o clock set alarm
25 December yana birthday	Not Found
Reminder for spj form	spj form
I need a reminder at the early morning..On sat	early morning..On sat
How u remind me ?	Not Found
I need to remind me at 9:55pm to 'apply oil to my hair'	apply oil to my hair
One more alarm	Not Found
Can you remind me today at 4:45 for my classes	my classes
Yes another reminder for eye drops to 1-1-1	eye drops to 1-1-1
Hi remind me to speak about UPS	speak about UPS
Plz call me in 30 sec due to in 5 min	Not Found
What type of reminder that?	?
Can u guys help in setting reminder for others?	others
Can you remind me to book my holiday flights by tomorrow	book my holiday flights
Please remind me to take my documents at 9 PM	take my documents
Remind me to fill insurance form at 11.30 am	fill insurance form at 11.30 am
is any alarm is available for the same because with the help of this some time i forget	any alarm and available for the same because with the help
Call a day before too	Call a day
I need a small reminder	Not Found
Set reminder at 6.30am	Not Found
Ha muje next saturday jana he matheraan so aap muje ek Reminder kar doge kya friday morning ko	Ha muje and kar doge kya
thanks for reminder	Not Found
Remind me about mighty at 10:30am today	mighty
Mujay 3 reminder chahiya	chahiya
Can u remind me my work	Not Found
Remind me to take the book of manager at 8pm	take the book of manager
Reminder for shaving ?	shaving
What do I send a message about?	?
After 5 mins	Not Found
I want little change in my scheduled	little change
Well for 4 M you reminded me later but everything was fine	Not Found
Remind maheboob payment 1:30pm	Not Found
Can u remind me after 25 Nov to fill ibps it officer exam	fill ibps it officer exam
Remind me to study at 7:00	study
May i know about you	you
Remind on 3rd Jan 2017 about card Holder invoice	card Holder invoice
Chorus for poha on wed for Neeta reminder on Tuesday at 9 pm	Chorus for poha
I want to change my schedule can we restart	Not Found
set a general reminder for today at 1:00 pm	Not Found
Can you remind me every 4 months for my pest control service?	my pest control service
Plz remind every 4 hourly	Not Found
May I know what all info that you can share about Pokemon go.	what all info that you can share about Pokemon
Set a reminder for this sat	Not Found
Can you tell me anything about band stand in aurobindo market	anything about band stand
Cam I get a call on 1st Dec as well....so I m prepared for the meeting to be held next day	Cam I get a call and meeting to be held
I think I set a reminder for every Monday Wednesday and Friday	Not Found
Set reminder for edit rajan s pic	edit rajan s pic
I want the reminder at midnight.	Not Found
Set a reminder to send resume to dr k r p today at 8pm	send resume to dr k r p
Turnoff my wakeup alarm for me	wakeup
Remind me to go to meet Seva at 10am	go to meet Seva
Can you tell me about the weather conditions	the weather conditions
Pleass set a reminder for 11:30 tomorrow morning	Not Found
Meeting Reminder Date: January 6, 2017 Time: 3 16 PM Meeting with: With sme Venue: 3d room	Not Found
I want know about mi phone chep and best	mi phone chep and best
Set reminder for my babies besan massage for every thursday	my babies besan massage
Rename the last reminder	Not Found
Remind me at 4 o'clock today	Not Found
Prayer reminder for friday	Not Found
Can you please set that for every day	Not Found
Remind to carry cheque book	carry cheque book
Can you remind me to take tablet tomorrow morning at 8:30 am..?	take tablet
Set for daily reminder	Not Found
Alert me at 7.10 pm today	Not Found
Set a reminder for 9pm today for playing ipad	playing ipad
Can u set that for everyday	Not Found
I want reminder frm 10pm - 8am	frm 10pm - 8am
Meeting Reminder Date: November 28, 2016 Time: 5 00 PM Meeting with: Sez card	Meeting with: Sez card
I need both to be set for me	be set for me
Can you put an end to all my alarms for today	all my alarms
Remind me every 2.5 hours from 10:00 am to 10:00 pm	Not Found
Forget to set reminders	set reminders
I need to change my schedule	change my schedule
Please remind me in every 30 mins	Not Found
Remind me today by 9.30 pm and by 9.00am in morning about Popo Christmas party	Popo Christmas party
But I want the reminder on every Friday at 7pm	Not Found
Set me reminder for daily	Not Found
Is there any process to know my sbi account balance by calling any number?	there any process to know my sbi account balance by calling any number
Thanks. Please remind me that I have to go to doctor	go to doctor
Need one more reminder	Not Found
Cpcc afternoon 01:30 remind me	Not Found
have you call to ips mit distance education?	call to ips mit distance education
What's my today's schedule	Not Found
Can you also remind me to take my meds after 30 mins from now	take my meds
R̉ẺM̉ỈN̉D̉ M̉Ẻ	Not Found
Thanks for reminding,	Not Found
Set a remind	Not Found
U guyz at tms dsnt cal or remind at crct tme	dsnt cal or remind
Remember me?	Not Found
Meeting Reminder Date: November 26, 2016 Time: 11 00 am Meeting with: Study Venue: Home	Not Found
I need reminder a a day in advance at 9	a a day in advance
Remind me to check memo	check memo
remind me that i have to buy clothes at 12	buy clothes
set an alarm of 8 in the morning	Not Found
I want this reminders now just twice a day this is getting too much	getting too much
Remind me ṭo pay SBI card payment tomm at 1pm.	pay SBI card payment tomm
This is for today	This
Can u plz provide info about 3s prime sale on filpkart	3s prime sale on filpkart
4 Jan dance class. Can you remind me plz	Not Found
Remind me to pay credit card tomorrow	pay credit card
Remember me to send paper bag samples to ritu	send paper bag samples to ritu
Now Pl readjusted my new reminder	Not Found
Pls remind me to pay apartment maintenance on Jan 7 at 10 am	pay apartment maintenance
I want to have a reminder to bring shoes from shop	bring shoes
I want a phone from paytm ??	I want a phone
How will you remind me ?	How
Tell me about sanjivni?	sanjivni
Remind me to send mail tomorrow	send mail
Plz set a reminder for 12th January 2017	Not Found
I have less idea about the senders address	about the senders address
Reminder to pay the in-laws only at 6pm today evening	pay the in-laws only
Edit reminder	Not Found
Make reminder every hour	Not Found
Remind me tonight at 11 55 pm to wish a friend birthday	wish a friend birthday
We'll do it later	Not Found
You reminded me 1 minute late	late
Call to 9100725934	Not Found
Please Remind me to check ticket status tomorrow at 11.00 a.m.	check ticket status
6am on 26 November	Not Found
i need a reminder today	Not Found
Remind me to put eye drops every night at 10.30pm	put eye drops
Can you make a reminder at 3pm	Not Found
I told u to remind me after 1hour	Not Found
Pls send a screenshot of the norifications of the scheduled reminder	Not Found
Thnk u so much for all d reminders	all d reminders
Please Remind me for Airtel Tariff of Rs. 8/- on 28th December.	Airtel Tariff of Rs. 8/- on 28th December
Remind me praveen g vishwas nagar at 1 pm today	praveen g vishwas nagar
Need to feed setails for second bday reminder	Not Found
Iam having exam on Saturday ie.7th of this month. At the same time Iam working in sales field, so with this stress I used to forget. I need you to remind me on 6th Jan in morning or in afternoon about my exam. Will you please help me out....!	Iam having exam and same time Iam working in sales field and exam and help me out....!
Reminder for buying bra-panties,Patanjali cream and toothpaste on 8th Dec 2016 at 3.30 pm	buying bra-panties,Patanjali cream and toothpaste
3 hours once u remember me	Not Found
Yaa sure	Not Found
Remind all night	Not Found
Will u give me call or something	give me call or something
Remind me today at 11pm about my ebay order.	about my ebay order
Could you remind me something daily?	Not Found
Can u please tell me about new year party	new year party
Hello Puneet. Could you please remind me to eat elaichi everyday early in the morning ?	eat elaichi
Set one at 6.15 also	Not Found
Remind me to buy tomatoes when I go to the market	buy tomatoes
Hi I had requested... At 8 but u reminded me 8.25...	Not Found
Remind me to go college after 2 min	go college
Shraddha can you remind me tomorrow ?	Not Found
I am looking for a reminder, you guys need to remind me twice a day for a prayer!	twice a day for a prayer!
Remind me about my monthly recharge on 17 January 2017. Please.	Remind me about my monthly recharge
Can you also sync in my google calendar?	Not Found
Set an alarm for me when azimabad Express reaches nagda	Not Found
Also can you remind me of brushing my teeth before and after bed	brushing my teeth
Want to set couple of reminder	Not Found
Remind me to collect NOC and agreememt of B1 2106 from sales office at 5pm today	collect NOC and agreememt of B1 2106 from sales office
Can you tell about cheaper flights on 2 march after 5 pm.	cheaper flights on 2
Remind me to Cal at 3:15pm today	Cal
Plz remind me to have my meal at 4pm	have my meal
Call Ananad.at 11.10	Not Found
Remind me to bring book	bring book
i need a reminder	Not Found
Can you please set reminder for me for CC bill payment for 9th of every month?	CC bill payment
Thank u ....Fr remember me	Not Found
Nov 15 alarms: 6am 6:30 7 7:15	Not Found
Can you please set an alarm?	Not Found
Can you remind me to get bath and leave for meeting in nandini layout?	get bath and leave and meeting
and remaind me 8pm and 9 pm for my test complete today	my test complete
Pl confirm when i said to set reminder	Pl confirm
Remind me to study CAN	study CAN
Set reminder to take simba to doctor tomorrow at 10.30	take simba to doctor
Remind me to study	study
Tomorrow remind me to put money in debt card at 11 am	put money in debt card at 11 am
For Study reminder	Study reminder
Remind me at 11.15 pm today	Not Found
How about vodafone stores.....did they accept the old 500 and 1k notes?	How about vodafone stores.....did they accept the old 500 and 1k notes
But where is my last call for today	But where and my last call
Remind me to return Suchetana's murakami today at 10am	return Suchetana's murakami
Brother i want to deactivate that reminder	Not Found
There unique reminder can you make for me	Not Found
Please Remind me to Test Bhuwan POI App Tomorrow at 10 A.M	Test Bhuwan POI App
Set an alarm	Not Found
Sraddha has been scheduled all my to do list reminder yesterday	Not Found
I want reminder at every month 1st for send email my expenses	send email my expenses
Did you charge for calling me ?	calling me
Thank you for reminding.	Thank you for reminding
My today	Not Found
Hi remind me when my phone charge is 38%	when my phone charge
Was the call made by you?	call made
Remind me to take lunch by 11:28 am	take lunch
Remind me to wish jyoti on 12 December	wish jyoti on 12 December
Remind me Tomorrow at 12:00pm about the institute fees	the institute fees
Set remainder at 10.30 everyday	Not Found
Also one more reminder	Not Found
well there is also an alarm on 7 30 of yoga	well there and also an alarm and yoga
6th January	Not Found
Remind me at 5:30	Not Found
1. If I want same thing to be set at other time also	If I want same thing
Remainder for Demo time fixing today evening 3 pm	Demo time fixing
Can U send me a reminder.	Not Found
I need a call for that	Not Found
For what reminder it is?	?
I want to change the frequency of this reminder	Not Found
Kindly repeat the last reminder every day except sunday	Not Found
Snd bharat mehta currier.. Remind atl	Snd bharat mehta currier
Ye reminder band kar de	Not Found
Need daily reminder	Not Found
can u set a reminder to have my lunch in 3 mins?	have my lunch
Sorry for missing call	missing call
Remind me to swetha at 1pm today	swetha
Remind me to check the stock prices again at 2:45	check the stock prices again
Remind me to collect my parcel at 10am today	collect my parcel
Remind me to eat ice cream	eat ice cream
Plz call me	Not Found
Also need you to remind me to book a ticket for my grand ma on 26 Dec	book a ticket for my grand ma
I want to wish on 2 nd january	wish
Please remind me to wish Ethan on his birthday on 16th November 2016 around 1 pm	wish Ethan on his birthday
Remind me for daily revsision	daily revsision
Remind me to book Tatkal train tickets	book Tatkal train tickets
Tomorrow I v to fill the Ssc exam form please remind me on 12 o clock	fill the Ssc exam form and on 12 o clock
Remind me about godfather at 11 pm tomorrow night	godfather at 11 pm tomorrow night
Remind me to pick my shoes and jacket at 4 pm today	pick my shoes and jacket
Remind me to text a reddy	text a reddy
Thanxx for reminder	Not Found
OK, I will let you know.	Not Found
And make the same remainder evening 8:30 too	Not Found
Audio reminder please	Not Found
Just remind me one more thing	one more thing
want to buy a gift..can you please suggest me	buy a gift
I want to delete my alarm	delete my alarm
Remind me plz	Not Found
I need u to remind me for docs collection from my friend on monday at 12pm	remind me for docs collection
David, how can I see all my set reminders?	my set reminders
Remind me speak to Fatima's brother at 1pm	Fatima's brother
But I want a reminder on every Wednesday until January 31st.	Not Found
Cancle the reminder	Not Found
Remind me before at around 8:00	Not Found
set a reminder for tommorow at 10:30 am	Not Found
Remind me tonight 8 pm I have to check money in my bag	check money in my bag
All i got to do is study this week. I have my exams starting from Friday.	i got to do is study this week. I have my exams starting
Give same reminder at 12:00 PM too	Give same reminder
Can you remind me to búy baby massage oil (coconut) tomorrow	Not Found
Could you please set a reminder for today at 2 p.m.	Not Found
Ya ofcourse	Not Found
Before 6am i kept some alarms may be 4am & 4. 30 & 5. 00am.. So cancell those plz	00am.. So cancell those plz
Remind me about tomorrows visit to BE College in the evening	tomorrows visit to BE College
I want to set a full day schedule for reminder	Not Found
Anjali daily reminder	Not Found
Remind me about antirag	antirag
And also a reminder on saturday mrng at 10 in the mrng	Not Found
Can u call me at 7:55	Not Found
And I need an alarm @ 7.15 pm today	Not Found
Again there was a reminder at 4.45am today!!!	Again there was a reminder
Remainder about saturday exam for meridian school	exam for meridian school
One remainder please	Not Found
I want to make a change... kindly remind me of the same at 12 in the afternoon tomorrow.	Not Found
Can you please remind me at 9 45 pm	Not Found
How it will be reminded	Not Found
How to delete the old reminders	delete the old reminders
Tomorrow at 5 PM reminder me to fill form of GPAT	fill form of GPAT
21nov GunA b.day	Not Found
Remind me to apply ssc chsl	apply ssc chsl
Your name reminds me someone ,,,, nice name ,,,, anyways gd nt ,,,	nice name
Remind me at 12.30 to visit ASUS service centre	visit ASUS service centre
Please remind me to be focused in my work every few hours☺	be focused in my work
Is it a computerised call	it a computerised call
Remind me after 20 mins	Not Found
remind me to note down all pending works for RE regarding website, marketing technique, design guide etc	down all pending works for RE regarding website, marketing technique, design guide etc
I want reminders to br stopped now	Not Found
Remind me to check jobs online available latest ...	check jobs online available latest ...
nopes	Not Found
Tysm for reminder.	Not Found
Please remind.me 1030 am to 1030 pm every hour today and tommorw	Not Found
Remind me in 12	Not Found
Make both these reminders please	Make both these reminders
Remind me to watch TV at 3.30 PM tomorrow.	watch TV
Previous reminder please set it as DS 160	Not Found
Remind Me at 11 am on 30th November 2016 That Your Lecture is there at Mensa Classes from 12 pm - 1.30 pm.	Your Lecture is there at Mensa Classes
For the reminder	Not Found
Morning at7am	Not Found
Remind me to visit dental clinic with vishal on 16	visit dental clinic with vishal
Can you remind me tomorrow at 16.30 that I've to go to Vile Parle?	go to Vile Parle
So I will get a call from haptik	get a call
Plz help me with a reminder	Not Found
I have a question	Not Found
Reminder as Date of interview with suma	interview with suma
But how will you guys remind?	But how
Hey..i have a non-reminder related question	i have a non-reminder related question
set reminder to bring the legal and logical compiler with me tomorrow morning at 8.30	bring the legal and logical compiler with me
Before 12am	Not Found
Hi need a reminder	Not Found
Remind me to fill FMS form at 8pm today.	fill FMS form
Vaccination reminder on 15 january 2017 at 9 am.	Not Found
Remind me to write a book at 11:30	write a book
Thanx for reminding. welcome the right step on currecy by Honourable PM. But need to think of Tourists marriageparty.etc	Thanx for reminding. welcome the right step on currecy and think of Tourists marriageparty.etc
Remind me to write reflections	write reflections
Just tell me something about you	something about you
Can u remind me to confirm flight timing on 5th Jan at 4pm?	confirm flight timing on 5th Jan
I want daily reminder for awake me jp	awake me jp
Alarm for morning 1) 8:30 am 2) 9:00 am 3) 9:30 am	Not Found
At 7:30 pm call to Papa daily	call to Papa daily
Please remind me to write a resume at 11 in the morning	write a resume
Call me today after 9.30pm	Call me
Set alarm at 6:30 P.M	Not Found
Plz postpone the same reminder at 8pm.	Not Found
Remind me about these tomorrow	these
Plz remind me tomorrow	Not Found
Remind me every day that train is at 7:55 am	train
How u remaind me	Not Found
Can you remind me regularly till 31st December 2016?	Not Found
I dint recv reminders today	I dint recv reminders
Remind me half hour before	Not Found
Remind me on 2 pm to purchase Rcc notes	purchase Rcc notes
Give me reminder to study everyday for 3 hr	study
Tommarow morning please remind me	Not Found
Remind me to make enquiry abt cab service	make enquiry abt cab service
Remind me today 3 o clock	Not Found
Remind me at 9:32pm	Not Found
I am so proud about our Prime Minister Modiji...	our Prime Minister Modiji...
Remind me for the saket report at one	the saket report
Remind me to take train at 11am	take train
Remind Bua for M	Bua for M
Rememb me after every 3 hours	Not Found
Please remind me tomorrow morning at 10am about meeting with mr Ravindran fixed for 11 am	meeting with mr Ravindran fixed
REMIND ME AT 4 PM	Not Found
Remind me to do Zoomcar payment	do Zoomcar payment
Can you set a another reminder	Not Found
reminder to take text book	take text book
4-1-17 at 9am, 10am (2 Reminders) Bring Gift for Ajay Pradhan ------------------------------------- 3-1-17 at 5pm, 7pm, 9pm (3 Reminders) Select gift for Ajay Pradhan ---------------------------------------	(2 Reminders) Bring Gift and , 9pm (3 Reminders) Select gift for Ajay Pradhan ---------------------------------------
Remind me to watch Manchester United vs Arsenal at 5:45 pm	watch Manchester United vs Arsenal
Remind me to check on tropicana and Gatorade. Also the Nike list of expenses. Nuamans suit	check on tropicana and Gatorade and expenses. Nuamans suit
Remind me every evening at 8:30 pm for the next week	Not Found
thanx dear for remind me	Not Found
Plz remind me	Not Found
Remind me to meet devang gandhi at 10. 30 am tom	meet devang gandhi
Can you please add a reminder to eat tablet	eat tablet
Can I add multiple reminders?	multiple reminders
set a reminder probing a reason	probing a reason
Name: Himali Date: November 9, 2016 Time: 11 58 PM to do reminder for birthday please set a to do only as himali birthday	do reminder for birthday
Please let set a alarm for tomorrow 8:30 am	Not Found
9 pm remind me to get money out	get money out
Can u set a reminder of 2:00	Not Found
Remind me to wish birthday to yogesh patil on 14 july at 9 am	wish birthday to yogesh patil
Need to call Company Radiant By 12pm	call Company Radiant
Want to add a to-do reminder	Not Found
I am quite intrigued by this venture Haptik. Can I ask a few things about it works etc?	Can I ask and it works etc
Change my reminder	Not Found
Ye	Not Found
Tell me about dnd	dnd
Plz move this reminder for 11 pm tonight	Not Found
would you make an alarm at around 8.30 pm	Not Found
Ofcorse	Not Found
Shall I keep alarm tone	Not Found
how u will help ?	how u will help
Remind me to get shower gel	get shower gel
I want to change reminder	change reminder
Plz remind me for day after tomorrow to go for wheels	go for wheels
Yeah sure	Not Found
6 am	Not Found
More option add to reminder	Not Found
I will tell you	Not Found
Thanks. Please clear all reminders now.	all reminders
Thanks for ur reminder	Not Found
Could you remind me to put eye drops every 2 hours starting from 8am to 11pm till next Monday	put eye drops every 2 hours starting
Please set a reminder for today for 7:20pm	Not Found
Call Sunil at 10:00 AM tomorrow	Call Sunil
Remind me to take a cab at 6pm on 3rd December	take a cab
What about the banks?	What about the banks
Plz set for everyday	Not Found
How you will remind me	Not Found
Hey, set a reminder for me	Not Found
Reminder for 2pm in the afternoon today	Not Found
Set a reminder Tom at 9am.meeting with ananta Geetha and Chinmaya	meeting with ananta Geetha and Chinmaya
Set me reminder for meeting @5pm today,let me know 1 1/2 hr before with Navstik	meeting and let me know 1 1/2 hr
Can i set reminder for whole week	Not Found
Remind me to give 500 rs to piyush at 7: 30 pm	give 500 rs to piyush
Can u remind me after half and hr	Not Found
Reminder on Tuesday to vary the watch at 8 am	vary the watch
I need the remainder on 22 as well	Not Found
Remind on 1st of every minth	Not Found
Can you remind me to book a phone via flipkart	book a phone via flipkart
I want to set the reminder for my Fkight too. Is it the option?	it the option
How i get reminded tomorrow by the way	How i get reminded
To call advocate kaushik tomorrow morning at 10am, ask him to put early hearing request for Lok adalat. And to pay him 5k with leaving balance of 5k to be paid at the time of final order	call advocate kaushik and ask him to put early hearing request for Lok adalat and pay him 5k with leaving and be paid
Remind me for every two hours	Not Found
Remind me at 8am in the morning to carry fir copy to office	carry fir copy to office
What about after that	Not Found
Remind me now	Not Found
Thanks shraddha for reminding.. ✌	Not Found
Reminder to check account balnce	check account balnce
Can you please set up an alarm on 26th	Not Found
Just make my two days schedule for study according to uh	study according to uh
I need a reminder from you..	Not Found
One more reminder plz Need to take eyerole on.. At same time tomorrow	take eyerole on.. At same time
Is there any need to keep internet on for receiving this call	there any need to keep internet on for receiving this call
Remind me at 10:30 for download whtsapp	download whtsapp
Hey another alarm also	Not Found
Can you please remind me to set campaign for Abha tom plz	set campaign for Abha tom
Can you please remind me to put my admit card and stationary in my bag for my exam at 4 am	put my admit card and stationary in my bag for my exam
Remind me to apply oil to my hair at 8 pm tonight	apply oil to my hair
Remind me today at 5:30 pm to bring my things from terrace	bring my things
Remind me one day ahead	Not Found
Can you also remind for the different mobile number?	the different mobile number
Change reminder timings	Not Found
I wanna enquire about something	something
Send Todo form	Not Found
Remind me to discuss with bhuvan on 2 pending mails sent by Akash	discuss with bhuvan on 2 pending mails sent by Akash
Every month on same day I need a reminder	Not Found
Remind me to send roaster at 11pm tonight	send roaster
Thanks for the Reminder	Not Found
reminder of appointment letter tomorrow	appointment letter
Inform me about going to the bank at 10.30 am tomorrow	going to the bank
Remind me at 5pm to pay for website today	pay for website
Just remember me in app only	Not Found
Remind me abt telling Sathya to eat sprouts and milk	telling Sathya to eat sprouts and milk
